idx	error_name	via	via_def	origin	before_array	before_rows	before_cols	before_bbox	after_array	after_rows	after_cols	after_bbox	action
1	0	VIA_SA_15760	VIA12SQ_C	393.6160 268.5200	2 1	2	1	{393.5610 268.3890} {393.6710 268.6510}	1 1	1	1	{393.5610 268.4650} {393.6710 268.5750}	OK
2	1	VIA_SA_15716	VIA12SQ_C	760.6960 291.9280	2 1	2	1	{760.6410 291.7970} {760.7510 292.0590}	1 1	1	1	{760.6410 291.8730} {760.7510 291.9830}	OK
3	2	VIA_SA_15713	VIA12SQ_C	743.6720 309.8640	2 1	2	1	{743.6170 309.7330} {743.7270 309.9950}	1 1	1	1	{743.6170 309.8090} {743.7270 309.9190}	OK
4	3	VIA_SA_15714	VIA12SQ_C	741.5440 306.5200	2 1	2	1	{741.4890 306.3890} {741.5990 306.6510}	1 1	1	1	{741.4890 306.4650} {741.5990 306.5750}	OK
5	4	VIA_SA_15706	VIA12SQ_C	780.3040 309.8640	2 1	2	1	{780.2490 309.7330} {780.3590 309.9950}	1 1	1	1	{780.2490 309.8090} {780.3590 309.9190}	OK
6	5	VIA_SA_15724	VIA12SQ_C	713.2720 315.3360	2 1	2	1	{713.2170 315.2050} {713.3270 315.4670}	1 1	1	1	{713.2170 315.2810} {713.3270 315.3910}	OK
7	6	VIA_SA_15725	VIA12SQ_C	713.8800 318.6800	2 1	2	1	{713.8250 318.5490} {713.9350 318.8110}	1 1	1	1	{713.8250 318.6250} {713.9350 318.7350}	OK
8	7	VIA_SA_15704	VIA12SQ_C	776.5040 315.3360	2 1	2	1	{776.4490 315.2050} {776.5590 315.4670}	1 1	1	1	{776.4490 315.2810} {776.5590 315.3910}	OK
9	8	VIA_SA_15705	VIA12SQ_C	778.4800 315.3360	2 1	2	1	{778.4250 315.2050} {778.5350 315.4670}	1 1	1	1	{778.4250 315.2810} {778.5350 315.3910}	OK
10	9	VIA_SA_15728	VIA12SQ_C	789.2720 315.3360	2 1	2	1	{789.2170 315.2050} {789.3270 315.4670}	1 1	1	1	{789.2170 315.2810} {789.3270 315.3910}	OK
11	10	VIA_SA_15711	VIA12SQ_C	736.5280 332.0560	2 1	2	1	{736.4730 331.9250} {736.5830 332.1870}	1 1	1	1	{736.4730 332.0010} {736.5830 332.1110}	OK
12	11	VIA_SA_15703	VIA12SQ_C	780.3040 335.4000	2 1	2	1	{780.2490 335.2690} {780.3590 335.5310}	1 1	1	1	{780.2490 335.3450} {780.3590 335.4550}	OK
13	12	VIA_SA_15712	VIA12SQ_C	743.2160 343.3040	2 1	2	1	{743.1610 343.1730} {743.2710 343.4350}	1 1	1	1	{743.1610 343.2490} {743.2710 343.3590}	OK
14	14	VIA_SA_15707	VIA12SQ_C	747.7760 423.5600	2 1	2	1	{747.7210 423.4290} {747.8310 423.6910}	1 1	1	1	{747.7210 423.5050} {747.8310 423.6150}	OK
15	15	VIA_SA_15720	VIA12SQ_C	762.6720 459.1280	2 1	2	1	{762.6170 458.9970} {762.7270 459.2590}	1 1	1	1	{762.6170 459.0730} {762.7270 459.1830}	OK
16	16	VIA_SA_15708	VIA12SQ_C	791.2480 452.4400	2 1	2	1	{791.1930 452.3090} {791.3030 452.5710}	1 1	1	1	{791.1930 452.3850} {791.3030 452.4950}	OK
17	17	VIA_SA_15710	VIA12SQ_C	801.5840 455.7840	2 1	2	1	{801.5290 455.6530} {801.6390 455.9150}	1 1	1	1	{801.5290 455.7290} {801.6390 455.8390}	OK
18	18	VIA_SA_15721	VIA12SQ_C	767.6880 463.6880	2 1	2	1	{767.6330 463.5570} {767.7430 463.8190}	1 1	1	1	{767.6330 463.6330} {767.7430 463.7430}	OK
19	19	VIA_SA_15722	VIA12SQ_C	768.2960 462.4720	2 1	2	1	{768.2410 462.3410} {768.3510 462.6030}	1 1	1	1	{768.2410 462.4170} {768.3510 462.5270}	OK
